Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NCI,1ZIABC010038-15,,Molecular Cytogenetics of Solid Tumors,"POPESCU, NICOLAE",NIH,,"$1,095,529"
Liver Cancer,2010,NCI,1ZIABC010649-06,,Immunotherapy Strategies for Gastrointestinal and Hepatocellular Cancer,"KAMMULA, UDAI",NIH,,"$410,668"
Liver Cancer,2010,NCI,1ZIABC010793-04,,"Role of inflammation, innate resistance, and immunity in carcinogenesis.","TRINCHIERI, GIORGIO",NIH,,"$1,479,814"
Liver Cancer,2010,NCI,1ZIABC010876-03,,The role of cancer stem cells in liver cancer heterogeneity and subtypes,"WANG, XIN",NIH,,"$566,077"
Liver Cancer,2010,NCI,1ZIABC010877-03,,The identification of human hepatocellular carcinoma metastasis genes,"WANG, XIN",NIH,,"$566,077"
Liver Cancer,2010,NCI,1ZIABC010891-03,,Antibody Therapy of Cancer,"HO, MITCHELL",NIH,,"$464,972"
Liver Cancer,2010,NCI,1ZIABC010893-03,,Tumor models for the study of inflammation and oncogenesis,"WILTROUT, ROBERT",NIH,,"$296,239"
Liver Cancer,2010,NCI,1ZIABC010997-03,,Purification of a Novel Antibody Against Solid Organ Cancer Stem Cells,"AVITAL, ITZHAK",NIH,,"$130,092"
Liver Cancer,2010,NCI,1ZIABC011005-03,,Isolation and Purification of Cancer Stem Cells Based on Functional Appraoch,"AVITAL, ITZHAK",NIH,,"$260,183"
Liver Cancer,2010,NCI,1ZIABC011031-03,,Cancer stem cells and human liver cancer,"THORGEIRSSON, SNORRI",NIH,,"$400,949"
Liver Cancer,2010,NCI,1ZIABC011170-02,,Comparative Functional Genomics,"THORGEIRSSON, SNORRI",NIH,,"$400,949"
Liver Cancer,2010,NCI,1ZIABC011173-02,,Genomic Classification of Human Liver Cancer,"THORGEIRSSON, SNORRI",NIH,,"$801,897"
Liver Cancer,2010,NCI,1ZIABC011175-02,,Validation of Therapeutic Target Genes in Human Liver Cancer,"THORGEIRSSON, SNORRI",NIH,,"$534,598"
Liver Cancer,2010,NCI,1ZIABC011251-01,,Molecular Genetic Epidemiology of Primary Hepatocellular Carcinoma,"BUETOW, KENNETH",NIH,,"$1,138,470"
Liver Cancer,2010,NCI,1ZIACP005782-16,,Epidemiology of Oncogenic Viruses,"O'BRIEN, THOMAS",NIH,,"$546,673"
Liver Cancer,2010,NCI,1ZIACP010158-10,,Studies of Rare Cancers,"BRINTON, LOUISE",NIH,,"$934,284"
Liver Cancer,2010,NIEHS,N01ES55536-12-0-1,,Studies to Evaluate the Toxicological Potential of Test Articles,"TAYLOR, LU",BATTELLE MEMORIAL INSTITUTE,OH,"$1,519,001"
Liver Cancer,2010,NCRR,5M01RR000065-48,6388,CLINICAL TRIAL: HEP C ANTIVIRAL LONG-TERM TREATMENT  AGAINST CIRRHOSIS (HALT-C),"STERLING, RICHARD",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$46,710"
Liver Cancer,2010,NCRR,5M01RR000827-35,6775,"A PHASE II, RANDOMIZED, CONTROLLED TRIAL OF THE SAFETY AND EFFICACY OF S-ADENOSY","HOEFS, JOHN",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$6,213"
Liver Cancer,2010,NCRR,5P20RR021940-05,7504,ROLE OF HNF4ALPHA IN REGULATION OF HEPATOCYTE PROLIFERATION,"APTE, UDAYAN",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$198,452"
Liver Cancer,2010,NCRR,5P20RR017695-07,7738,GROWTH REGULATION OF LIVER PROGENITOR CELLS,"SANDERS, JENNIFER",RHODE ISLAND HOSPITAL,RI,"$206,908"
Liver Cancer,2010,NCRR,5P20RR016443-11,8232,"HEPATITIS B VIRUS/HEPATITIS DELTA VIRUS INFECTION, ITS RELATION TO PATHOGENESIS","GUDIMA, SEVERIN",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$276,695"
Liver Cancer,2010,NCRR,5P41RR000862-37,5051,INVESTIGATIONS OF THE FUNCTION OF NS4B OF HCV,"RICE, CHARLES",ROCKEFELLER UNIVERSITY,NY,"$1,167"
Liver Cancer,2010,NCRR,2P41RR001614-28,5739,O-GLCNAC MODIFICATION SITES IN HEPATIC AND PANCREATIC CELLS,"BURLINGAME, ALMA",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$45,927"
Liver Cancer,2010,NCRR,2P41RR009784-16,5788,REAL TIME MR THERMOMETRY FOR MONITORING FOCUSED ULTRASOUND IN THE LIVER,"HOLBROOK, ANDREW",STANFORD UNIVERSITY,CA,"$9,250"
Liver Cancer,2010,NCRR,5P41RR011823-15,7288,IDENTIFICATION OF NOVEL HOST FACTORS INTERACTING WITH NS5A PROTEIN OF HCV,"SIDDIQUI, ALEEM",UNIVERSITY OF WASHINGTON,WA,"$2,425"
